Item,Type,Year,Amount,,,,,,
Food,Import,2008,63689123.00,,,,,,
Beverages and Tobacco,Import,2008,6682428.00,,,,,,
Crude Materials (excl. Fuel),Import,2008,5173358.00,,,,,,
"Mineral Fuels, etcetera",Import,2008,200882147.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2008,3894452.00,,,,,,
Chemicals,Import,2008,64259578.00,,,,,,
Manufactured Goods,Import,2008,62836125.00,,,,,,
Machinery and Transport Equipment,Import,2008,86626586.00,,,,,,
Misc. Manufactured Articles,Import,2008,47971891.00,,,,,,
Other,Import,2008,8676764.00,,,,,,
Food,Import,2009,69983810.00,,,,,,
Beverages and Tobacco,Import,2009,6785385.00,,,,,,
Crude Materials (excl. Fuel),Import,2009,4641651.00,,,,,,
"Mineral Fuels, etcetera",Import,2009,118360607.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2009,3113033.00,,,,,,
Chemicals,Import,2009,62779870.00,,,,,,
Manufactured Goods,Import,2009,47616612.00,,,,,,
Machinery and Transport Equipment,Import,2009,70351307.00,,,,,,
Misc. Manufactured Articles,Import,2009,37190730.00,,,,,,
Other,Import,2009,7932049.00,,,,,,
Food,Import,2010,70999015.00,,,,,,
Beverages and Tobacco,Import,2010,6631033.00,,,,,,
Crude Materials (excl. Fuel),Import,2010,5317510.00,,,,,,
"Mineral Fuels, etcetera",Import,2010,147081190.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2010,2872797.00,,,,,,
Chemicals,Import,2010,60656747.00,,,,,,
Manufactured Goods,Import,2010,51206735.00,,,,,,
Machinery and Transport Equipment,Import,2010,69250817.00,,,,,,
Misc. Manufactured Articles,Import,2010,42173911.00,,,,,,
Other,Import,2010,8237939.00,,,,,,
Food,Import,2011,80620426.00,,,,,,
Beverages and Tobacco,Import,2011,6649712.00,,,,,,
Crude Materials (excl. Fuel),Import,2011,5392618.00,,,,,,
"Mineral Fuels, etcetera",Import,2011,198540682.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2011,5026837.00,,,,,,
Chemicals,Import,2011,75061991.00,,,,,,
Manufactured Goods,Import,2011,55440423.00,,,,,,
Machinery and Transport Equipment,Import,2011,80059325.00,,,,,,
Misc. Manufactured Articles,Import,2011,40504045.00,,,,,,
Other,Import,2011,5890933.00,,,,,,
Food,Import,2012,83924077.00,,,,,,
Beverages and Tobacco,Import,2012,7033167.00,,,,,,
Crude Materials (excl. Fuel),Import,2012,4134483.00,,,,,,
"Mineral Fuels, etcetera",Import,2012,196516146.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2012,4544752.00,,,,,,
Chemicals,Import,2012,79741870.00,,,,,,
Manufactured Goods,Import,2012,54521564.00,,,,,,
Machinery and Transport Equipment,Import,2012,79843802.00,,,,,,
Misc. Manufactured Articles,Import,2012,40271911.00,,,,,,
Other,Import,2012,10545144.00,,,,,,
Food,Import,2013,96124712.00,,,,,,
Beverages and Tobacco,Import,2013,7723976.00,,,,,,
Crude Materials (excl. Fuel),Import,2013,5584585.00,,,,,,
"Mineral Fuels, etcetera",Import,2013,226295762.00,,,,,,
Animal & Vegetable Oils & Fats,Import,2013,4261914.00,,,,,,
Chemicals,Import,2013,76356019.00,,,,,,
Manufactured Goods,Import,2013,60262455.00,,,,,,
Machinery and Transport Equipment,Import,2013,89995126.00,,,,,,
Misc. Manufactured Articles,Import,2013,44606970.00,,,,,,
Other,Import,2013,11564913.00,,,,,,
Food,Export,2008,18584928.00,,,,,,
Beverages and Tobacco,Export,2008,6714233.00,,,,,,
Crude Materials (excl. Fuel),Export,2008,99718269.00,,,,,,
"Mineral Fuels, etcetera",Export,2008,31462660.00,,,,,,
Animal & Vegetable Oils & Fats,Export,2008,4053.00,,,,,,
Chemicals,Export,2008,22634995.00,,,,,,
Manufactured Goods,Export,2008,902506.00,,,,,,
Machinery and Transport Equipment,Export,2008,2614575.00,,,,,,
Misc. Manufactured Articles,Export,2008,1160339.00,,,,,,
Other,Export,2008,0.00,,,,,,
Food,Export,2009,20888180.00,,,,,,
Beverages and Tobacco,Export,2009,8960657.00,,,,,,
Crude Materials (excl. Fuel),Export,2009,41310925.00,,,,,,
"Mineral Fuels, etcetera",Export,2009,18911468.00,,,,,,
Animal & Vegetable Oils & Fats,Export,2009,17565.00,,,,,,
Chemicals,Export,2009,18087049.00,,,,,,
Manufactured Goods,Export,2009,2261449.00,,,,,,
Machinery and Transport Equipment,Export,2009,3582010.00,,,,,,
